Time,Holiday,Week Day,t,cos_x,sin_x
2021-11-22 12:00:00,0.0,0,5.580000000000041,1.0,0.0
2021-11-22 15:00:00,0.0,0,6.03000000000003,1.0,0.0
2021-11-22 18:00:00,0.0,0,5.760000000000048,1.0,0.0
2021-11-22 21:00:00,0.0,0,5.330000000000041,1.0,0.0
2021-11-23 00:00:00,0.0,1,4.140000000000043,0.5000000000000001,0.8660254037844386
2021-11-23 03:00:00,0.0,1,3.6000000000000227,0.5000000000000001,0.8660254037844386
2021-11-23 06:00:00,0.0,1,2.9399999999999977,0.5000000000000001,0.8660254037844386
2021-11-23 09:00:00,0.0,1,5.82000000000005,0.5000000000000001,0.8660254037844386
2021-11-23 12:00:00,0.0,1,7.670000000000016,0.5000000000000001,0.8660254037844386
2021-11-23 15:00:00,0.0,1,4.970000000000027,0.5000000000000001,0.8660254037844386
2021-11-23 18:00:00,0.0,1,2.6100000000000136,0.5000000000000001,0.8660254037844386
2021-11-23 21:00:00,0.0,1,1.5600000000000023,0.5000000000000001,0.8660254037844386
2021-11-24 00:00:00,0.0,2,0.8900000000000432,-0.4999999999999998,0.8660254037844387
2021-11-24 03:00:00,0.0,2,0.37000000000000455,-0.4999999999999998,0.8660254037844387
2021-11-24 06:00:00,0.0,2,-0.13999999999998636,-0.4999999999999998,0.8660254037844387
2021-11-24 09:00:00,0.0,2,3.6299999999999955,-0.4999999999999998,0.8660254037844387
2021-11-24 12:00:00,0.0,2,5.840000000000032,-0.4999999999999998,0.8660254037844387
2021-11-24 15:00:00,0.0,2,3.0200000000000387,-0.4999999999999998,0.8660254037844387
2021-11-24 18:00:00,0.0,2,1.0600000000000023,-0.4999999999999998,0.8660254037844387
2021-11-24 21:00:00,0.0,2,0.35000000000002274,-0.4999999999999998,0.8660254037844387
2021-11-25 00:00:00,0.0,3,-0.06999999999999318,-1.0,1.2246467991473532e-16
2021-11-25 03:00:00,0.0,3,-0.37000000000000455,-1.0,1.2246467991473532e-16
2021-11-25 06:00:00,0.0,3,-0.38999999999998636,-1.0,1.2246467991473532e-16
2021-11-25 09:00:00,0.0,3,4.03000000000003,-1.0,1.2246467991473532e-16
2021-11-25 12:00:00,0.0,3,7.650000000000034,-1.0,1.2246467991473532e-16
2021-11-25 15:00:00,0.0,3,4.770000000000039,-1.0,1.2246467991473532e-16
2021-11-25 18:00:00,0.0,3,3.670000000000016,-1.0,1.2246467991473532e-16
2021-11-25 21:00:00,0.0,3,3.670000000000016,-1.0,1.2246467991473532e-16
2021-11-26 00:00:00,0.0,4,3.8799999999999955,-0.5000000000000004,-0.8660254037844384
2021-11-26 03:00:00,0.0,4,4.730000000000018,-0.5000000000000004,-0.8660254037844384
2021-11-26 06:00:00,0.0,4,4.390000000000043,-0.5000000000000004,-0.8660254037844384
2021-11-26 09:00:00,0.0,4,4.550000000000011,-0.5000000000000004,-0.8660254037844384
2021-11-26 12:00:00,0.0,4,4.590000000000032,-0.5000000000000004,-0.8660254037844384
2021-11-26 15:00:00,0.0,4,4.7900000000000205,-0.5000000000000004,-0.8660254037844384
2021-11-26 18:00:00,0.0,4,4.2000000000000455,-0.5000000000000004,-0.8660254037844384
2021-11-26 21:00:00,0.0,4,4.340000000000032,-0.5000000000000004,-0.8660254037844384
2021-11-27 00:00:00,0.0,5,3.980000000000018,0.5000000000000001,-0.8660254037844386
2021-11-27 03:00:00,0.0,5,3.330000000000041,0.5000000000000001,-0.8660254037844386
2021-11-27 06:00:00,0.0,5,2.75,0.5000000000000001,-0.8660254037844386
2021-11-27 09:00:00,0.0,5,2.680000000000007,0.5000000000000001,-0.8660254037844386
